CustomerID,City,Contract,MonthlyCharges,Tenure,ChurnProbability,RiskCategory
CUST-103365,Delhi,Month-to-Month,109.47,2,0.8090874372989965,Critical Risk
CUST-100168,Pune,Month-to-Month,91.58,17,0.8053141490259534,Critical Risk
CUST-103007,Kolkata,Month-to-Month,112.97,4,0.8048312747737053,Critical Risk
CUST-100729,Hyderabad,Month-to-Month,89.67,6,0.8029182290347944,Critical Risk
CUST-103553,Hyderabad,Month-to-Month,100.72,15,0.8007034257025838,Critical Risk
CUST-102772,Chennai,Month-to-Month,105.42,21,0.7984320103018043,High Risk
CUST-104501,Bangalore,Month-to-Month,94.6,0,0.7941087247372461,High Risk
CUST-103064,Mumbai,Month-to-Month,85.82,22,0.7908951415498704,High Risk
CUST-103449,Kolkata,Month-to-Month,101.27,8,0.7894126768422858,High Risk
CUST-102973,Chennai,Month-to-Month,100.04,1,0.7858277032348663,High Risk
CUST-104857,Ahmedabad,Month-to-Month,108.55,3,0.7809127691294729,High Risk
CUST-104170,Mumbai,Month-to-Month,95.86,15,0.7781873305144639,High Risk
CUST-104251,Pune,Month-to-Month,83.67,19,0.7728538953855433,High Risk
CUST-103782,Bangalore,Month-to-Month,91.67,22,0.7712390641339351,High Risk
CUST-101354,Kolkata,Month-to-Month,96.6,11,0.7644251034566008,High Risk
CUST-100802,Mumbai,Month-to-Month,105.53,4,0.7644003858260408,High Risk
CUST-100331,Chennai,Month-to-Month,104.73,4,0.7639964973717887,High Risk
CUST-104800,Delhi,Month-to-Month,81.44,7,0.7634414192321657,High Risk
CUST-102136,Delhi,Month-to-Month,102.81,5,0.7630132478540846,High Risk
CUST-102815,Kolkata,Month-to-Month,96.57,0,0.7609159380821429,High Risk
CUST-104621,Mumbai,Month-to-Month,86.78,0,0.7597188887010377,High Risk
CUST-100370,Ahmedabad,Month-to-Month,87.45,1,0.7591931711725093,High Risk
CUST-100599,Mumbai,Month-to-Month,95.66,0,0.757993972941078,High Risk
CUST-102859,Mumbai,Month-to-Month,107.34,6,0.7564415898624558,High Risk
CUST-103167,Kolkata,Month-to-Month,88.31,14,0.7548107595103972,High Risk
CUST-101300,Mumbai,Month-to-Month,95.66,17,0.7528929534300984,High Risk
CUST-100218,Delhi,Month-to-Month,83.14,6,0.7515433589172328,High Risk
CUST-102291,Ahmedabad,Month-to-Month,80.85,17,0.7504919469001817,High Risk
CUST-102335,Chennai,Month-to-Month,81.23,4,0.7502321912070737,High Risk
CUST-103213,Hyderabad,Month-to-Month,93.56,17,0.7497467511522077,High Risk
CUST-104061,Pune,Month-to-Month,79.63,4,0.7480011763407922,High Risk
CUST-103249,Delhi,Month-to-Month,99.81,15,0.7443565248487247,High Risk
CUST-104196,Bangalore,Month-to-Month,84.29,17,0.7438663586543532,High Risk
CUST-100688,Chennai,Month-to-Month,81.71,4,0.741421593611037,High Risk
CUST-100042,Delhi,Month-to-Month,77.2,19,0.7405084957748609,High Risk
CUST-100856,Pune,Month-to-Month,81.3,3,0.7395935345050568,High Risk
CUST-103911,Kolkata,Month-to-Month,95.02,9,0.7383977081171033,High Risk
CUST-100741,Ahmedabad,Month-to-Month,97.66,10,0.7382578931230122,High Risk
CUST-102910,Pune,Month-to-Month,85.33,6,0.737123204559624,High Risk
CUST-101708,Chennai,Month-to-Month,124.41,13,0.7370484901770274,High Risk
CUST-101953,Mumbai,Month-to-Month,84.92,11,0.7361036041657676,High Risk
CUST-100684,Bangalore,Month-to-Month,92.63,8,0.7355474909994175,High Risk
CUST-100082,Hyderabad,Month-to-Month,83.17,2,0.7351896401364406,High Risk
CUST-103448,Bangalore,Month-to-Month,100.55,5,0.7351549030712967,High Risk
CUST-102609,Chennai,Month-to-Month,112.55,14,0.7315467726720181,High Risk
CUST-104077,Delhi,Month-to-Month,96.88,13,0.7301780463240952,High Risk
CUST-102478,Pune,Month-to-Month,77.7,2,0.7290250046827202,High Risk
CUST-102284,Bangalore,Month-to-Month,89.34,19,0.726081784004046,High Risk
CUST-101502,Chennai,Month-to-Month,79.06,1,0.7228689883052565,High Risk
CUST-102069,Kolkata,Month-to-Month,84.04,21,0.7223812286167508,High Risk
CUST-100969,Bangalore,Month-to-Month,80.94,6,0.721472445009046,High Risk
CUST-101360,Hyderabad,Month-to-Month,104.83,7,0.7192682815676805,High Risk
CUST-100987,Bangalore,Month-to-Month,105.98,8,0.7190411539192533,High Risk
CUST-100963,Mumbai,Month-to-Month,85.75,3,0.7174904580986176,High Risk
CUST-103800,Pune,Month-to-Month,113.76,16,0.7172916608937372,High Risk
CUST-103357,Hyderabad,Month-to-Month,102.85,15,0.7160157442274985,High Risk
CUST-101908,Kolkata,Month-to-Month,132.45,17,0.713465213040775,High Risk
CUST-102566,Mumbai,Month-to-Month,83.69,8,0.7133738157754886,High Risk
CUST-100134,Pune,Month-to-Month,96.18,14,0.7110096596986176,High Risk
CUST-102818,Ahmedabad,Month-to-Month,96.59,3,0.7098159562939306,High Risk
CUST-100400,Bangalore,Month-to-Month,74.66,1,0.7091469097716024,High Risk
CUST-103077,Mumbai,Month-to-Month,91.05,26,0.7088727208612369,High Risk
CUST-102493,Bangalore,Month-to-Month,85.77,16,0.7083451624306725,High Risk
CUST-103541,Kolkata,Month-to-Month,87.39,20,0.707156762521785,High Risk
CUST-104367,Pune,Month-to-Month,96.38,2,0.7052966391209449,High Risk
CUST-102221,Bangalore,Month-to-Month,127.38,7,0.7033566655051369,High Risk
CUST-103050,Delhi,Month-to-Month,97.38,19,0.7031324333727443,High Risk
CUST-100492,Mumbai,Month-to-Month,133.52,0,0.6975587463873549,High Risk
CUST-100604,Chennai,Month-to-Month,86.64,11,0.6965974087835368,High Risk
CUST-100888,Chennai,Month-to-Month,111.94,31,0.695333514254775,High Risk
CUST-101273,Bangalore,Month-to-Month,112.95,20,0.6953038098273411,High Risk
CUST-102125,Mumbai,Month-to-Month,116.0,8,0.6949847076649357,High Risk
CUST-100615,Kolkata,Month-to-Month,98.94,2,0.6937368985042566,High Risk
CUST-103364,Delhi,Month-to-Month,79.95,4,0.6930514768175553,High Risk
CUST-100011,Pune,Month-to-Month,99.19,12,0.6929931429506719,High Risk
CUST-103161,Mumbai,Month-to-Month,94.03,18,0.6913377496444016,High Risk
CUST-104188,Kolkata,Month-to-Month,84.09,25,0.6886881385865512,High Risk
CUST-102352,Bangalore,Month-to-Month,136.36,1,0.6883978446414901,High Risk
CUST-102936,Pune,Month-to-Month,89.92,8,0.6878982241886004,High Risk
CUST-101549,Chennai,Month-to-Month,77.64,9,0.6872531287819318,High Risk
CUST-104701,Mumbai,Month-to-Month,85.31,2,0.6798039015493288,High Risk
CUST-100921,Delhi,Month-to-Month,106.16,2,0.679515217058678,High Risk
CUST-101829,Kolkata,Month-to-Month,113.9,8,0.6775524453418827,High Risk
CUST-100641,Hyderabad,Month-to-Month,112.81,8,0.6771383793046986,High Risk
CUST-104511,Delhi,Month-to-Month,108.72,29,0.6762667873846969,High Risk
CUST-104691,Pune,Month-to-Month,70.48,4,0.6759817098748759,High Risk
CUST-103618,Mumbai,Month-to-Month,86.71,7,0.6739965130095023,High Risk
CUST-102971,Delhi,Month-to-Month,72.45,2,0.6724827923608894,High Risk
CUST-100176,Chennai,Month-to-Month,98.17,27,0.6722115792727006,High Risk
CUST-100679,Pune,Month-to-Month,107.1,9,0.6714214969436859,High Risk
CUST-101457,Kolkata,Month-to-Month,101.31,40,0.6711948911242224,High Risk
CUST-102847,Chennai,Month-to-Month,105.35,2,0.6704196797599787,High Risk
CUST-102856,Bangalore,Month-to-Month,93.81,14,0.6678974837974831,High Risk
CUST-104633,Ahmedabad,Month-to-Month,109.95,11,0.6660468977730578,High Risk
CUST-102272,Mumbai,Month-to-Month,88.26,0,0.664449679954254,High Risk
CUST-104757,Kolkata,Month-to-Month,94.31,11,0.6636387284011178,High Risk
CUST-101797,Ahmedabad,Month-to-Month,88.12,20,0.6632547804021881,High Risk
CUST-102122,Mumbai,Month-to-Month,84.09,8,0.6606262528801856,High Risk
CUST-100448,Mumbai,Month-to-Month,90.9,13,0.6582765536580948,High Risk
CUST-101898,Bangalore,Month-to-Month,87.36,10,0.6582451944536609,High Risk
CUST-101109,Bangalore,Month-to-Month,73.02,18,0.6572101100320193,High Risk
CUST-100003,Bangalore,Two Year,101.83,1,0.6564540890431539,High Risk
CUST-102616,Hyderabad,Month-to-Month,92.98,9,0.6561953246515926,High Risk
CUST-104463,Pune,Month-to-Month,78.83,23,0.655675906106941,High Risk
CUST-101224,Delhi,Month-to-Month,74.97,0,0.6549146183336408,High Risk
CUST-103173,Mumbai,Month-to-Month,76.96,8,0.6542383760083943,High Risk
CUST-100701,Delhi,Month-to-Month,101.63,23,0.6528432370944287,High Risk
CUST-101131,Hyderabad,Month-to-Month,93.58,8,0.6501520221119261,High Risk
CUST-101227,Mumbai,Month-to-Month,107.05,2,0.6491634011132964,High Risk
CUST-104381,Delhi,Month-to-Month,101.56,20,0.6484710824398434,High Risk
CUST-101693,Kolkata,Month-to-Month,99.59,7,0.644038955903755,High Risk
CUST-103680,Pune,One Year,83.57,4,0.6434022946827875,High Risk
CUST-100493,Bangalore,Month-to-Month,106.02,18,0.641952600108032,High Risk
CUST-103760,Delhi,One Year,86.57,3,0.6403705095268092,High Risk
CUST-101677,Mumbai,Two Year,92.83,1,0.637806960459692,High Risk
CUST-103214,Pune,Month-to-Month,74.44,2,0.6357114186762253,High Risk
CUST-103822,Hyderabad,Month-to-Month,120.49,10,0.6355653386613128,High Risk
CUST-103989,Bangalore,One Year,90.4,2,0.6351284862222737,High Risk
CUST-102090,Hyderabad,Month-to-Month,100.31,33,0.6345677036374898,High Risk
CUST-101513,Hyderabad,One Year,92.45,1,0.6324388486506202,High Risk
CUST-102963,Mumbai,Month-to-Month,88.41,1,0.6323728307630475,High Risk
CUST-100742,Mumbai,Month-to-Month,75.54,0,0.629938572651307,High Risk
CUST-101387,Mumbai,Month-to-Month,100.45,31,0.6260881607444818,High Risk
CUST-102635,Delhi,Month-to-Month,89.66,1,0.6244480005719386,High Risk
CUST-100499,Pune,Month-to-Month,105.29,41,0.6243832574707908,High Risk
CUST-100578,Bangalore,One Year,84.35,1,0.6234673364148037,High Risk
CUST-101703,Mumbai,One Year,88.67,1,0.6234220139275617,High Risk
CUST-101164,Kolkata,One Year,82.79,3,0.6231831780542448,High Risk
CUST-100870,Hyderabad,Month-to-Month,91.3,25,0.6219493689268711,High Risk
CUST-101892,Mumbai,One Year,102.15,3,0.6217178034808131,High Risk
CUST-100827,Delhi,One Year,107.19,4,0.621078845122168,High Risk
CUST-102780,Mumbai,One Year,112.47,6,0.6209133198902637,High Risk
CUST-104901,Hyderabad,Month-to-Month,91.98,1,0.6189758148677631,High Risk
CUST-100928,Delhi,Month-to-Month,83.47,11,0.6188577212881238,High Risk
CUST-102770,Mumbai,Month-to-Month,79.64,12,0.6172686957064911,High Risk
CUST-102483,Bangalore,Month-to-Month,98.07,9,0.6162541498826761,High Risk
CUST-103941,Mumbai,Month-to-Month,113.0,1,0.6153475675085668,High Risk
CUST-101304,Kolkata,Month-to-Month,90.79,7,0.6149417066053442,High Risk
CUST-101720,Delhi,One Year,86.14,5,0.6107524686572154,High Risk
CUST-101572,Ahmedabad,Month-to-Month,99.82,9,0.6103657615675014,High Risk
CUST-102439,Mumbai,Month-to-Month,84.6,4,0.6099545892736211,High Risk
CUST-102137,Delhi,Month-to-Month,58.49,3,0.6097496198118786,High Risk
CUST-101674,Delhi,One Year,95.28,4,0.6089149766898251,High Risk
CUST-101637,Pune,One Year,92.48,1,0.6088514041157724,High Risk
CUST-102612,Kolkata,Month-to-Month,81.6,16,0.6083980475854498,High Risk
CUST-101528,Mumbai,Month-to-Month,80.31,3,0.6083412477789792,High Risk
CUST-101427,Mumbai,Month-to-Month,83.39,16,0.6077533122738903,High Risk
CUST-104980,Mumbai,Month-to-Month,69.96,27,0.6063801936056521,High Risk
CUST-103685,Hyderabad,Month-to-Month,72.15,4,0.6053768530129647,High Risk
CUST-101471,Mumbai,Month-to-Month,102.79,6,0.6052241257183393,High Risk
CUST-102349,Chennai,Month-to-Month,68.15,8,0.604234895528385,High Risk
CUST-104686,Kolkata,Month-to-Month,80.87,12,0.6042134856680945,High Risk
CUST-104053,Bangalore,Month-to-Month,86.86,7,0.6041767938672243,High Risk
CUST-102399,Mumbai,Month-to-Month,106.82,9,0.6040574379442708,High Risk
CUST-103887,Bangalore,Month-to-Month,89.99,0,0.603875336649602,High Risk
CUST-103592,Bangalore,Month-to-Month,96.25,5,0.6031309882774678,High Risk
